,Ciudad de México,Zumpango,Puebla,Guadalajara,Hermosillo,Monterrey,Cuernavaca,Tijuana,Querétaro,Mexicali,Avg
Mon,1443.0,170.0,211.0,205.0,157.0,160.0,21.0,123.0,91.0,90.0,267.1
Tue,991.0,124.0,109.0,149.0,124.0,125.0,21.0,77.0,67.0,21.0,180.8
Wed,755.0,157.0,82.0,102.0,78.0,77.0,0.0,50.0,39.0,12.0,135.2
Thu,1126.0,220.0,167.0,183.0,122.0,109.0,35.0,84.0,66.0,37.0,214.9
Fri,1645.0,223.0,246.0,333.0,185.0,228.0,22.0,150.0,86.0,49.0,316.7
Sat,1866.0,195.0,281.0,417.0,174.0,269.0,29.0,147.0,90.0,71.0,353.9
Sun,1475.0,120.0,207.0,311.0,147.0,204.0,37.0,118.0,83.0,53.0,275.5
